id;criado;status;preco_total;comentarios;codigo_pagamento
1;2021-10-28T07:29:29;CANCELADO;79963;../fake-data/blob/hipster.txt;Madeira
2;2021-10-28T00:10:56;ENTREGUE;41856;../fake-data/blob/hipster.txt;Sapatos Etiópia copying
3;2021-10-27T22:46:51;CANCELADO;36323;../fake-data/blob/hipster.txt;XML Assurance National
4;2021-10-28T15:17:13;ESTORNADO;75612;../fake-data/blob/hipster.txt;marca
5;2021-10-28T14:12:12;AGUARDANDO_PAGAMENTO;34393;../fake-data/blob/hipster.txt;clicks-and-mortar deposit
6;2021-10-28T01:18:33;ESTORNADO;80675;../fake-data/blob/hipster.txt;Toalhas
7;2021-10-28T10:13:08;ENTREGUE;86627;../fake-data/blob/hipster.txt;payment holistic
8;2021-10-28T10:26:52;ENTREGUE;85263;../fake-data/blob/hipster.txt;Música optimize
9;2021-10-28T13:54:30;ESTORNADO;4837;../fake-data/blob/hipster.txt;Franc Avenida
10;2021-10-28T07:55:25;AGUARDANDO_PAGAMENTO;57472;../fake-data/blob/hipster.txt;Toalhas Argentine Ceará
